num_item_id,definition,type,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
194,parc,word,places,0.03,0.08,0,0.18,0.02,0.11,0.2,0.25,0.34,0.38,0.28,0.46,0.38,0.69,0.48
195,pique-nique,word,places,0,0,0,0,0,0.05,0.02,0.08,0.11,0.12,0.09,0.15,0.15,0.26,0.34
196,plage,word,places,0.01,0,0,0,0,0.05,0.05,0.08,0.12,0.36,0.19,0.31,0.44,0.6,0.59
197,station-service,word,places,0,0,0,0,0,0.02,0,0.04,0.02,0,0.03,0.04,0.03,0.03,0.1
198,terrain de jeux,word,places,0,0,0,0,0,0.02,0,0.1,0.06,0.02,0.09,0.08,0.06,0.03,0.24
199,travail,word,places,0.03,0,0,0.09,0.1,0.23,0.37,0.3,0.41,0.62,0.44,0.54,0.65,0.8,0.72
200,zoo,word,places,0.01,0,0,0,0.05,0.04,0.02,0.04,0.09,0.12,0,0.08,0.21,0.17,0.31
201,appareil photo,word,household,0.01,0,0,0,0.05,0.02,0.07,0.11,0.1,0.17,0.16,0.23,0.15,0.49,0.34
202,argent,word,household,0.01,0.04,0,0.09,0.02,0.02,0,0.15,0.11,0.1,0.09,0.08,0.15,0.26,0.17
203,aspirateur,word,household,0.04,0,0,0.36,0.18,0.23,0.34,0.38,0.39,0.62,0.41,0.54,0.82,0.8,0.76
204,assiette,word,household,0.03,0,0,0.36,0.3,0.23,0.44,0.34,0.56,0.62,0.56,0.69,0.79,0.89,0.76
